original_name,matched_name,latitude,longitude,type,score,status,correction
"Paris","A Paris 32160 Couloumé-Mondebat",48.85675,2.34661,"locality",0.6717251948051948,corrected,"48.85675, 2.34661"
"Aubervilliers","Aubervilliers",48.912878,2.386167,"municipality",0.8260535064935064,found,""
"Bernay (Eure","2 Chemin de Lieurey 27300 Bernay",49.103211,0.58369,"housenumber",0.43501356643356637,review,""
"gare des Batignolles","3 Rue des Batignolles 75017 Paris",48.883212,2.323584,"housenumber",0.712280303030303,review,""
"Bernay","Bernay",49.089387,0.595349,"municipality",0.6861324675324676,found,""
"Rethel","Rethel",49.509988,4.378836,"municipality",0.684877012987013,found,""
"La Sabotterie","6 La Saboterie 41160 Saint-Hilaire-la-Gravelle",49.54660,4.67099,"housenumber",0.8768094805194805,corrected,"49.54660, 4.67099"
"Mézières","7 Mézière 37310 Dolus-le-Sec",49.7735,4.7217,"housenumber",0.8414426262626261,corrected,"49.7735, 4.7217"
"forêt de Saint-Michel","8 Rue Saint-michel de la Forêt 61300 Saint-Michel-Tubœuf",,,"housenumber",0.6741236363636363,excluded,"NOK"
"Sambre","9 Rue de Sambre 59360 Catillon-sur-Sambre",50.073577,3.646101,"housenumber",0.49626909090909094,validated,"OK"
"Anderlues","Rue d'Anderlues 84190 Gigondas",50.406521,4.272870,"street",0.5403181818181818,corrected,"50.406521, 4.272870"
"Thuin","Rue des Thuins 77163 Mortcerf",50.340924,4.286250,"street",0.33598484848484844,corrected,"50.340924, 4.286250"
"Avesnes","12 Rue Avesnes 02640 Saint-Simon",50.144176,3.934579,"housenumber",0.6712433566433565,corrected,"50.144176, 3.934579"
"Le Nouvion","Bat le Nouvion 62680 Méricourt",50.405546,2.881533,"locality",0.6467787878787878,found,""
"Guise","Guise 45600 Sully-sur-Loire",49.900667,3.629850,"locality",0.5564823376623376,corrected,"49.900667, 3.629850"
"Audigny","Audigny",49.871104,3.643899,"municipality",0.6267596969696969,found,""
"Origny-Sainte-Benoîte","Origny-Sainte-Benoite",49.83539,3.4997,"municipality",0.8190974703557311,found,""
"Laon","Laon",49.570287,3.614719,"municipality",0.4954090909090909,found,""
"Fismes","Fismes",49.308235,3.688225,"municipality",0.6026445454545454,found,""
"vallée de la Marne","19 Rue de la Vallée 77140 Saint-Pierre-lès-Nemours",,,"housenumber",0.6442817391304347,excluded,"NOK"
"pont de Verneuil","Route du Pont 16310 Verneuil",49.088402,3.665804,"street",0.5889763636363635,corrected,"49.088402, 3.665804"
"Bouquigny","Bouligny 50810 La Barre-de-Semilly",49.075752,3.687119,"street",0.38881853146853146,corrected,"49.075752, 3.687119"
"Troissy","Troissy",49.080215,3.703603,"municipality",0.6314796969696969,found,""
"pont","23 Pont Doré 97231 Le Robert",49.088321,3.665753,"housenumber",0.5475123140495867,corrected,"49.088321, 3.665753"
"Marne","Marne 44680 Saint-Mars-de-Coutais",,,"street",0.5553041558441558,excluded,"NOK"
"Ville-sous-Orbais","La Ville-sous-Orbais",48.968761,3.678468,"municipality",0.7480334632034632,found,""
"la Marne","La Marne 61600 Magny-le-Désert",,,"street",0.6674127272727272,excluded,"NOK"
"Monceau","27 Rue Monceau 57840 Ottange",48.693998,3.437509,"housenumber",0.6772051748251748,corrected,"48.693998, 3.437509"
"Saint-Bon","28 Rue Saint-bon 77390 Argentières",48.678377,3.461181,"housenumber",0.7061466666666666,corrected,"48.678377, 3.461181"
