original_name,matched_name,latitude,longitude,type,score,status
Paris,A Paris 32160 Couloumé-Mondebat,43.643134,0.098172,locality,0.6717251948051948,found
Aubervilliers,Aubervilliers,48.912878,2.386167,municipality,0.8260535064935064,found
Bernay (Eure,2 Chemin de Lieurey 27300 Bernay,49.103211,0.58369,housenumber,0.43501356643356637,review
gare des Batignolles,3 Rue des Batignolles 75017 Paris,48.883212,2.323584,housenumber,0.712280303030303,review
Bernay,Bernay,49.089387,0.595349,municipality,0.6861324675324676,found
Rethel,Rethel,49.509988,4.378836,municipality,0.684877012987013,found
La Sabotterie,6 La Saboterie 41160 Saint-Hilaire-la-Gravelle,47.932723,1.184522,housenumber,0.8768094805194805,review
Mézières,7 Mézière 37310 Dolus-le-Sec,47.165724,0.861642,housenumber,0.8414426262626261,review
forêt de Saint-Michel,8 Rue Saint-michel de la Forêt 61300 Saint-Michel-Tubœuf,48.751772,0.689816,housenumber,0.6741236363636363,review
Sambre,9 Rue de Sambre 59360 Catillon-sur-Sambre,50.073577,3.646101,housenumber,0.49626909090909094,review
Anderlues,Rue d'Anderlues 84190 Gigondas,44.164063,5.005787,street,0.5403181818181818,review
Thuin,Rue des Thuins 77163 Mortcerf,48.786712,2.917725,street,0.33598484848484844,review
Avesnes,12 Rue Avesnes 02640 Saint-Simon,49.746081,3.17956,housenumber,0.6712433566433565,review
Le Nouvion,Bat le Nouvion 62680 Méricourt,50.405546,2.881533,locality,0.6467787878787878,found
Guise,Guise 45600 Sully-sur-Loire,47.718928,2.395428,locality,0.5564823376623376,found
Audigny,Audigny,49.871104,3.643899,municipality,0.6267596969696969,found
Origny-Sainte-Benoîte,Origny-Sainte-Benoite,49.83539,3.4997,municipality,0.8190974703557311,found
Laon,Laon,49.570287,3.614719,municipality,0.4954090909090909,found
Fismes,Fismes,49.308235,3.688225,municipality,0.6026445454545454,found
vallée de la Marne,19 Rue de la Vallée 77140 Saint-Pierre-lès-Nemours,48.248142,2.689531,housenumber,0.6442817391304347,review
pont de Verneuil,Route du Pont 16310 Verneuil,45.787997,0.707219,street,0.5889763636363635,review
Bouquigny,Bouligny 50810 La Barre-de-Semilly,49.096244,-1.016241,street,0.38881853146853146,review
Troissy,Troissy,49.080215,3.703603,municipality,0.6314796969696969,found
pont,23 Pont Doré 97231 Le Robert,14.658923,-60.933506,housenumber,0.5475123140495867,review
Marne,Marne 44680 Saint-Mars-de-Coutais,47.096564,-1.727034,street,0.5553041558441558,review
Ville-sous-Orbais,La Ville-sous-Orbais,48.968761,3.678468,municipality,0.7480334632034632,found
la Marne,La Marne 61600 Magny-le-Désert,48.586236,-0.317674,street,0.6674127272727272,review
Monceau,27 Rue Monceau 57840 Ottange,49.443315,6.017594,housenumber,0.6772051748251748,review
Saint-Bon,28 Rue Saint-bon 77390 Argentières,48.653501,2.868434,housenumber,0.7061466666666666,review
Le Châtaignier,Le Chataignier 35340 La Bouëxière,48.175585,-1.459095,street,0.7886354545454545,review
Monceau-les-Provins,Montceaux-lès-Provins,48.694647,3.444531,municipality,0.603100909090909,found
Montmirail,31 Rue Montmirail 17000 La Rochelle,46.159022,-1.168395,housenumber,0.7475790909090908,review
Dormans,Dormans,49.07008,3.64217,municipality,0.6373069696969696,found
Château-Thierry,33 Rue Château Thierry 33700 Mérignac,44.828537,-0.615668,housenumber,0.8000489177489177,review
Muizon,Muizon,49.274676,3.893424,municipality,0.5979054545454544,found
Loivre,Loivre,49.344692,3.983219,municipality,0.5962472727272727,found
bois de Brimont,Chemin du Bois de Brion 71210 Torcy,46.772726,4.433757,street,0.444590404040404,review
bois du Chauffour,Chemin du Bois de Chauffour 77970 Pécy,48.653555,3.082974,street,0.5857425974025974,review
route 44,38 Route de Béac 44600 Saint-Nazaire,47.242675,-2.290313,housenumber,0.4975740692640692,review
Cauroy,Cauroy,49.347522,4.470832,municipality,0.5870381818181818,found
Godat,Rue Goda 51400 Baconnes,49.159552,4.337643,street,0.38948636363636363,review
Potence,La Potence 61260 Val-au-Perche,48.27104,0.784326,street,0.6135323966942149,review
La Neuville,La Neuville 62390 Auxi-le-Château,50.243611,2.09719,street,0.7372797902097902,review
Sapigneul,Rue de Sapigneul 02190 Condé-sur-Suippe,49.419886,3.95008,street,0.5123161497326203,review
Canal de l'Aisne à la Marne,Chemin du Canal de Perrin 97111 Morne-à-l'Eau,16.303892,-61.512691,street,0.35852,review
Berry-au-Bac,Berry-au-Bac,49.401196,3.900366,municipality,0.7392166233766233,found
Jonchery,Jonchery,48.139064,5.077993,municipality,0.6625972727272726,found
Arras,47 Rue d'Arras 59000 Lille,50.623112,3.067756,housenumber,0.5636686713286713,review
Aix-Noulette,Aix-Noulette,50.424788,2.712577,municipality,0.7468984415584414,found
Fosseux,Fosseux,50.255075,2.563621,municipality,0.6231569696969697,found
Montenescourt,Montenescourt,50.292663,2.62819,municipality,0.7500181818181818,found
Grand-Servin,Rue Roland Dervin 51170 Fismes,49.311621,3.681152,street,0.319988023715415,review
Neuville-Saint-Waast,Neuville-Saint-Vaast,50.355266,2.757333,municipality,0.6725630303030303,found
Houvin-Houvigneul,Houvin-Houvigneul,50.296927,2.375757,municipality,0.7855993301435406,found
Souchez,Souchez,50.391452,2.742954,municipality,0.6369242424242424,found
Sibiville,Sibiville,50.299992,2.324391,municipality,0.6778479338842975,found
Sericourt,Séricourt,50.294002,2.315184,municipality,0.6738533884297521,found
bois de la Folie,Les Bois de la Folie 89160 Jully,47.762881,4.324273,street,0.7127806926406925,review
carrefour des Cinq-Chemins,Carrefour des Cinq Chemins 69130 Écully,45.78136,4.764336,locality,0.8543874025974026,found
Roclincourt,Roclincourt,50.324194,2.785556,municipality,0.7246288811188811,found
Xe,,,,,,not_found
Rebreuviette,Rebreuviette,50.262733,2.365155,municipality,0.7344975324675325,found
Frévent,Frévent 61260 Val-au-Perche,48.285199,0.77976,street,0.6429233333333333,review
Guillaucourt (Somme,Guillaucourt,49.842844,2.630147,municipality,0.5221718181818181,found
